NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines
H4,484,2017,010121,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,484,2017,010129,     60.00,     10.00,     20.00,     15.00,0,0,0,4,4,4
H4,484,2017,010130,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,484,2017,010190,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,484,2017,010221,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,484,2017,010229,     15.00,      0.00,     15.00,      5.00,0,2,0,1,3,3
H4,484,2017,010231,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,484,2017,010239,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H4,484,2017,010290,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H4,484,2017,010310,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,484,2017,010391,     49.00,      9.00,     20.00,     16.33,0,0,0,3,3,3
H4,484,2017,010392,     69.00,      9.00,     20.00,     17.25,0,0,0,4,4,4
H4,484,2017,010410,     20.00,      0.00,     10.00,      6.67,0,1,0,2,3,3
H4,484,2017,010420,     30.00,      0.00,     20.00,     10.00,0,1,0,2,3,3
H4,484,2017,010511,     10.00,      0.00,     10.00,      3.33,0,2,0,1,3,3
H4,484,2017,010512,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,484,2017,010513,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,484,2017,010514,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,484,2017,010515,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,484,2017,010594,     30.00,     10.00,     20.00,     15.00,0,0,0,2,2,2
H4,484,2017,010599,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,484,2017,010611,     30.00,     10.00,     20.00,     15.00,0,0,0,2,2,2
H4,484,2017,010612,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,484,2017,010613,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,484,2017,010614,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,484,2017,010619,     60.00,      0.00,     20.00,     15.00,0,1,0,3,4,4
H4,484,2017,010620,     80.00,     20.00,     20.00,     20.00,0,0,0,4,4,4
H4,484,2017,010631,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,484,2017,010632,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,484,2017,010633,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,484,2017,010639,     60.00,     20.00,     20.00,     20.00,0,0,0,3,3,3
H4,484,2017,010641,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,484,2017,010649,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,484,2017,010690,     30.00,      0.00,     20.00,      7.50,0,2,0,2,4,4
H4,484,2017,020110,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,484,2017,020120,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,484,2017,020130,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,484,2017,020210,     25.00,     25.00,     25.00,     25.00,0,0,0,1,1,1
H4,484,2017,020220,     25.00,     25.00,     25.00,     25.00,0,0,0,1,1,1
H4,484,2017,020230,     25.00,     25.00,     25.00,     25.00,0,0,0,1,1,1
H4,484,2017,020311,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,484,2017,020312,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,484,2017,020319,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,484,2017,020321,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,484,2017,020322,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,484,2017,020329,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,484,2017,020410,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,484,2017,020421,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,484,2017,020422,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,484,2017,020423,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,484,2017,020430,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,484,2017,020441,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,484,2017,020442,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,484,2017,020443,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,484,2017,020450,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,484,2017,020500,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,484,2017,020610,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,484,2017,020621,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,484,2017,020622,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,484,2017,020629,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H4,484,2017,020630,     30.00,     10.00,     20.00,     15.00,0,0,0,2,2,2
H4,484,2017,020641,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,484,2017,020649,     10.00,      0.00,     10.00,      5.00,0,1,0,1,2,2
H4,484,2017,020680,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,484,2017,020690,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,484,2017,020711,     75.00,     75.00,     75.00,     75.00,0,0,0,1,1,1
H4,484,2017,020712,     75.00,     75.00,     75.00,     75.00,0,0,0,1,1,1
H4,484,2017,020713,    300.00,     75.00,     75.00,     75.00,0,0,0,4,4,4
H4,484,2017,020714,    310.00,     10.00,     75.00,     62.00,0,0,0,5,5,5
H4,484,2017,020724,     45.00,     45.00,     45.00,     45.00,0,0,0,1,1,1
H4,484,2017,020725,     45.00,     45.00,     45.00,     45.00,0,0,0,1,1,1
H4,484,2017,020726,    225.00,     75.00,     75.00,     75.00,0,0,0,3,3,3
H4,484,2017,020727,    235.00,     10.00,     75.00,     58.75,0,0,0,4,4,4
H4,484,2017,020741,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,484,2017,020742,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,484,2017,020743,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,484,2017,020744,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,484,2017,020745,     10.00,      0.00,     10.00,      5.00,0,1,0,1,2,2
H4,484,2017,020751,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,484,2017,020752,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,484,2017,020753,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,484,2017,020754,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,484,2017,020755,     10.00,      0.00,     10.00,      5.00,0,1,0,1,2,2
H4,484,2017,020760,      0.00,      0.00,      0.00,      0.00,0,3,0,0,3,3
H4,484,2017,020810,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,484,2017,020830,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,484,2017,020840,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,484,2017,020850,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,484,2017,020860,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,484,2017,020890,     30.00,     10.00,     10.00,     10.00,0,0,0,3,3,3
H4,484,2017,020910,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H4,484,2017,020990,     15.00,      0.00,     15.00,      7.50,0,1,0,1,2,2
H4,484,2017,021011,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,484,2017,021012,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,484,2017,021019,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,484,2017,021020,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,484,2017,021091,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,484,2017,021092,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,484,2017,021093,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,484,2017,021099,     45.00,     10.00,     15.00,     11.25,0,0,0,4,4,4
H4,484,2017,030111,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,484,2017,030119,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H4,484,2017,030191,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H4,484,2017,030192,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H4,484,2017,030193,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H4,484,2017,030194,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
