NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines
H5,036,2018,010121,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,036,2018,010129,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,036,2018,010130,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,036,2018,010190,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,036,2018,010221,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,036,2018,010229,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,036,2018,010231,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,036,2018,010239,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,036,2018,010290,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,036,2018,010310,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,036,2018,010391,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,036,2018,010392,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,036,2018,010410,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,036,2018,010420,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,036,2018,010511,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,036,2018,010512,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,036,2018,010513,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,036,2018,010514,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,036,2018,010515,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,036,2018,010594,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,036,2018,010599,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,036,2018,010611,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,036,2018,010612,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,036,2018,010613,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,036,2018,010614,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,036,2018,010619,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
