NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines
H5,152,2017,010121,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,010129,     12.00,      6.00,      6.00,      6.00,0,0,0,2,2,2
H5,152,2017,010130,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,010190,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,010221,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,010229,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,010231,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,010239,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,010290,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,010310,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,010391,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,010392,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,010410,     12.00,      6.00,      6.00,      6.00,0,0,0,2,2,2
H5,152,2017,010420,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,010511,     12.00,      6.00,      6.00,      6.00,0,0,0,2,2,2
H5,152,2017,010512,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,010513,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,010514,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,010515,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,010594,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,010599,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,010611,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,010612,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,010613,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,010614,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,010619,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,010620,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,010631,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,010632,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,010633,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,010639,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,010641,     30.00,      6.00,      6.00,      6.00,0,0,0,5,5,5
H5,152,2017,010649,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,010690,     18.00,      6.00,      6.00,      6.00,0,0,0,3,3,3
H5,152,2017,020110,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,020120,     18.00,      6.00,      6.00,      6.00,0,0,0,3,3,3
H5,152,2017,020130,     30.00,      6.00,      6.00,      6.00,0,0,0,5,5,5
H5,152,2017,020210,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,020220,     18.00,      6.00,      6.00,      6.00,0,0,0,3,3,3
H5,152,2017,020230,     36.00,      6.00,      6.00,      6.00,0,0,0,6,6,6
H5,152,2017,020311,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,020312,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,020319,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,020321,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,020322,     18.00,      6.00,      6.00,      6.00,0,0,0,3,3,3
H5,152,2017,020329,     42.00,      6.00,      6.00,      6.00,0,0,0,7,7,7
H5,152,2017,020410,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,020421,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,020422,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,020423,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,020430,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,020441,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,020442,     24.00,      6.00,      6.00,      6.00,0,0,0,4,4,4
H5,152,2017,020443,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,020450,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,020500,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,020610,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,020621,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,020622,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,020629,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,020630,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,020641,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,152,2017,020649,     18.00,      6.00,      6.00,      6.00,0,0,0,3,3,3
H5,152,2017,020680,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
