NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines
H5,604,2017,010121,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,604,2017,010129,     12.00,      6.00,      6.00,      6.00,0,0,0,2,2,2
H5,604,2017,010130,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,604,2017,010190,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,604,2017,010221,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,604,2017,010229,      6.00,      0.00,      6.00,      3.00,0,1,0,1,2,2
H5,604,2017,010231,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,604,2017,010239,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,604,2017,010290,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,604,2017,010310,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,604,2017,010391,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,604,2017,010392,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,604,2017,010410,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,604,2017,010420,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,604,2017,010511,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,604,2017,010512,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,604,2017,010513,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,604,2017,010514,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,604,2017,010515,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,604,2017,010594,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,604,2017,010599,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,604,2017,010611,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,010612,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,010613,     24.00,      6.00,      6.00,      6.00,0,0,0,4,4,4
H5,604,2017,010614,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,010619,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,010620,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,010631,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,010632,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,010633,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,010639,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,010641,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,010649,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,010690,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,020110,     11.00,     11.00,     11.00,     11.00,0,0,0,1,1,1
H5,604,2017,020120,     11.00,     11.00,     11.00,     11.00,0,0,0,1,1,1
H5,604,2017,020130,     22.00,     11.00,     11.00,     11.00,0,0,0,2,2,2
H5,604,2017,020210,     11.00,     11.00,     11.00,     11.00,0,0,0,1,1,1
H5,604,2017,020220,     11.00,     11.00,     11.00,     11.00,0,0,0,1,1,1
H5,604,2017,020230,     22.00,     11.00,     11.00,     11.00,0,0,0,2,2,2
H5,604,2017,020311,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,020312,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,020319,     24.00,      6.00,      6.00,      6.00,0,0,0,4,4,4
H5,604,2017,020321,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,020322,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,020329,     24.00,      6.00,      6.00,      6.00,0,0,0,4,4,4
H5,604,2017,020410,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,020421,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,020422,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,020423,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,020430,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
H5,604,2017,020441,      6.00,      6.00,      6.00,      6.00,0,0,0,1,1,1
