NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines
H5,704,2018,010121,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,704,2018,010129,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H5,704,2018,010130,      5.00,      0.00,      5.00,      2.50,0,1,0,1,2,2
H5,704,2018,010190,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H5,704,2018,010221,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,704,2018,010229,     15.00,      5.00,      5.00,      5.00,0,0,0,3,3,3
H5,704,2018,010231,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,704,2018,010239,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H5,704,2018,010290,      5.00,      0.00,      5.00,      2.50,0,1,0,1,2,2
H5,704,2018,010310,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,704,2018,010391,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H5,704,2018,010392,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H5,704,2018,010410,      5.00,      0.00,      5.00,      2.50,0,1,0,1,2,2
H5,704,2018,010420,      5.00,      0.00,      5.00,      2.50,0,1,0,1,2,2
H5,704,2018,010511,     10.00,      0.00,     10.00,      5.00,0,1,0,1,2,2
H5,704,2018,010512,     10.00,      0.00,     10.00,      5.00,0,1,0,1,2,2
H5,704,2018,010513,     10.00,      0.00,     10.00,      5.00,0,1,0,1,2,2
H5,704,2018,010514,     10.00,      0.00,     10.00,      5.00,0,1,0,1,2,2
H5,704,2018,010515,     10.00,      0.00,     10.00,      5.00,0,1,0,1,2,2
H5,704,2018,010594,     30.00,      0.00,     10.00,      6.00,0,1,0,4,5,5
H5,704,2018,010599,     10.00,      0.00,      5.00,      2.50,0,2,0,2,4,4
H5,704,2018,010611,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H5,704,2018,010612,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H5,704,2018,010613,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H5,704,2018,010614,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H5,704,2018,010619,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H5,704,2018,010620,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H5,704,2018,010631,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H5,704,2018,010632,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H5,704,2018,010633,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H5,704,2018,010639,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H5,704,2018,010641,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H5,704,2018,010649,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H5,704,2018,010690,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H5,704,2018,020110,     30.00,     30.00,     30.00,     30.00,0,0,0,1,1,1
H5,704,2018,020120,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H5,704,2018,020130,     14.00,     14.00,     14.00,     14.00,0,0,0,1,1,1
H5,704,2018,020210,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H5,704,2018,020220,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H5,704,2018,020230,     14.00,     14.00,     14.00,     14.00,0,0,0,1,1,1
H5,704,2018,020311,     25.00,     25.00,     25.00,     25.00,0,0,0,1,1,1
H5,704,2018,020312,     25.00,     25.00,     25.00,     25.00,0,0,0,1,1,1
H5,704,2018,020319,     25.00,     25.00,     25.00,     25.00,0,0,0,1,1,1
H5,704,2018,020321,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,020322,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,020329,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,020410,      7.00,      7.00,      7.00,      7.00,0,0,0,1,1,1
H5,704,2018,020421,      7.00,      7.00,      7.00,      7.00,0,0,0,1,1,1
H5,704,2018,020422,      7.00,      7.00,      7.00,      7.00,0,0,0,1,1,1
H5,704,2018,020423,      7.00,      7.00,      7.00,      7.00,0,0,0,1,1,1
H5,704,2018,020430,      7.00,      7.00,      7.00,      7.00,0,0,0,1,1,1
H5,704,2018,020441,      7.00,      7.00,      7.00,      7.00,0,0,0,1,1,1
H5,704,2018,020442,      7.00,      7.00,      7.00,      7.00,0,0,0,1,1,1
H5,704,2018,020443,      7.00,      7.00,      7.00,      7.00,0,0,0,1,1,1
H5,704,2018,020450,      7.00,      7.00,      7.00,      7.00,0,0,0,1,1,1
H5,704,2018,020500,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H5,704,2018,020610,      8.00,      8.00,      8.00,      8.00,0,0,0,1,1,1
H5,704,2018,020621,      8.00,      8.00,      8.00,      8.00,0,0,0,1,1,1
H5,704,2018,020622,      8.00,      8.00,      8.00,      8.00,0,0,0,1,1,1
H5,704,2018,020629,      8.00,      8.00,      8.00,      8.00,0,0,0,1,1,1
H5,704,2018,020630,      8.00,      8.00,      8.00,      8.00,0,0,0,1,1,1
H5,704,2018,020641,      8.00,      8.00,      8.00,      8.00,0,0,0,1,1,1
H5,704,2018,020649,      8.00,      8.00,      8.00,      8.00,0,0,0,1,1,1
H5,704,2018,020680,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H5,704,2018,020690,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H5,704,2018,020711,     40.00,     40.00,     40.00,     40.00,0,0,0,1,1,1
H5,704,2018,020712,     40.00,     40.00,     40.00,     40.00,0,0,0,1,1,1
H5,704,2018,020713,     40.00,     40.00,     40.00,     40.00,0,0,0,1,1,1
H5,704,2018,020714,    100.00,     20.00,     20.00,     20.00,0,0,0,5,5,5
H5,704,2018,020724,     40.00,     40.00,     40.00,     40.00,0,0,0,1,1,1
H5,704,2018,020725,     40.00,     40.00,     40.00,     40.00,0,0,0,1,1,1
H5,704,2018,020726,     40.00,     40.00,     40.00,     40.00,0,0,0,1,1,1
H5,704,2018,020727,     60.00,     20.00,     20.00,     20.00,0,0,0,3,3,3
H5,704,2018,020741,     40.00,     40.00,     40.00,     40.00,0,0,0,1,1,1
H5,704,2018,020742,     40.00,     40.00,     40.00,     40.00,0,0,0,1,1,1
H5,704,2018,020743,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,020744,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,020745,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,020751,     40.00,     40.00,     40.00,     40.00,0,0,0,1,1,1
H5,704,2018,020752,     40.00,     40.00,     40.00,     40.00,0,0,0,1,1,1
H5,704,2018,020753,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,020754,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,020755,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,020760,     40.00,     40.00,     40.00,     40.00,0,0,0,1,1,1
H5,704,2018,020810,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H5,704,2018,020830,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H5,704,2018,020840,     15.00,      5.00,     10.00,      7.50,0,0,0,2,2,2
H5,704,2018,020850,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H5,704,2018,020860,      5.00,      5.00,      5.00,      5.00,0,0,0,1,1,1
H5,704,2018,020890,     15.00,      5.00,     10.00,      7.50,0,0,0,2,2,2
H5,704,2018,020910,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H5,704,2018,020990,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H5,704,2018,021011,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H5,704,2018,021012,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H5,704,2018,021019,     20.00,     10.00,     10.00,     10.00,0,0,0,2,2,2
H5,704,2018,021020,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,021091,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H5,704,2018,021092,     40.00,     20.00,     20.00,     20.00,0,0,0,2,2,2
H5,704,2018,021093,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H5,704,2018,021099,     60.00,     20.00,     20.00,     20.00,0,0,0,3,3,3
H5,704,2018,030111,    150.00,     15.00,     20.00,     18.75,0,0,0,8,8,8
H5,704,2018,030119,     75.00,     15.00,     20.00,     18.75,0,0,0,4,4,4
H5,704,2018,030191,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H5,704,2018,030192,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H5,704,2018,030193,     20.00,      0.00,     20.00,     10.00,0,1,0,1,2,2
H5,704,2018,030194,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H5,704,2018,030195,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H5,704,2018,030199,    140.00,      0.00,     20.00,     12.73,0,4,0,7,11,11
H5,704,2018,030211,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H5,704,2018,030213,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H5,704,2018,030214,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H5,704,2018,030219,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H5,704,2018,030221,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H5,704,2018,030222,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H5,704,2018,030223,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H5,704,2018,030224,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030229,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030231,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030232,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030233,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H5,704,2018,030234,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030235,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030236,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030239,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030241,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H5,704,2018,030242,     12.00,     12.00,     12.00,     12.00,0,0,0,1,1,1
H5,704,2018,030243,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H5,704,2018,030244,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030245,     12.00,     12.00,     12.00,     12.00,0,0,0,1,1,1
H5,704,2018,030246,     12.00,     12.00,     12.00,     12.00,0,0,0,1,1,1
H5,704,2018,030247,     12.00,     12.00,     12.00,     12.00,0,0,0,1,1,1
H5,704,2018,030249,     12.00,     12.00,     12.00,     12.00,0,0,0,1,1,1
H5,704,2018,030251,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H5,704,2018,030252,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H5,704,2018,030253,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H5,704,2018,030254,     12.00,     12.00,     12.00,     12.00,0,0,0,1,1,1
H5,704,2018,030255,     12.00,     12.00,     12.00,     12.00,0,0,0,1,1,1
H5,704,2018,030256,     12.00,     12.00,     12.00,     12.00,0,0,0,1,1,1
H5,704,2018,030259,     12.00,     12.00,     12.00,     12.00,0,0,0,1,1,1
H5,704,2018,030271,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H5,704,2018,030272,     40.00,     20.00,     20.00,     20.00,0,0,0,2,2,2
H5,704,2018,030273,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H5,704,2018,030274,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H5,704,2018,030279,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H5,704,2018,030281,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030282,     12.00,     12.00,     12.00,     12.00,0,0,0,1,1,1
H5,704,2018,030283,     12.00,     12.00,     12.00,     12.00,0,0,0,1,1,1
H5,704,2018,030284,     12.00,     12.00,     12.00,     12.00,0,0,0,1,1,1
H5,704,2018,030285,     12.00,     12.00,     12.00,     12.00,0,0,0,1,1,1
H5,704,2018,030289,    196.00,     12.00,     20.00,     15.08,0,0,0,13,13,13
H5,704,2018,030291,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H5,704,2018,030292,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030299,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H5,704,2018,030311,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030312,     12.00,     12.00,     12.00,     12.00,0,0,0,1,1,1
H5,704,2018,030313,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H5,704,2018,030314,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H5,704,2018,030319,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030323,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H5,704,2018,030324,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H5,704,2018,030325,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H5,704,2018,030326,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030329,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H5,704,2018,030331,     12.00,     12.00,     12.00,     12.00,0,0,0,1,1,1
H5,704,2018,030332,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H5,704,2018,030333,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H5,704,2018,030334,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030339,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030341,     12.00,     12.00,     12.00,     12.00,0,0,0,1,1,1
H5,704,2018,030342,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H5,704,2018,030343,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030344,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H5,704,2018,030345,     28.00,     14.00,     14.00,     14.00,0,0,0,2,2,2
H5,704,2018,030346,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030349,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030351,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H5,704,2018,030353,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H5,704,2018,030354,     26.00,     13.00,     13.00,     13.00,0,0,0,2,2,2
H5,704,2018,030355,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H5,704,2018,030356,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H5,704,2018,030357,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H5,704,2018,030359,     30.00,     10.00,     10.00,     10.00,0,0,0,3,3,3
H5,704,2018,030363,     14.00,     14.00,     14.00,     14.00,0,0,0,1,1,1
H5,704,2018,030364,     14.00,     14.00,     14.00,     14.00,0,0,0,1,1,1
H5,704,2018,030365,     14.00,     14.00,     14.00,     14.00,0,0,0,1,1,1
H5,704,2018,030366,     12.00,     12.00,     12.00,     12.00,0,0,0,1,1,1
H5,704,2018,030367,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H5,704,2018,030368,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H5,704,2018,030369,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H5,704,2018,030381,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030382,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H5,704,2018,030383,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H5,704,2018,030384,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H5,704,2018,030389,    180.00,     10.00,     20.00,     13.85,0,0,0,13,13,13
H5,704,2018,030391,     12.00,     12.00,     12.00,     12.00,0,0,0,1,1,1
H5,704,2018,030392,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030399,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H5,704,2018,030431,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030432,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030433,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030439,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030441,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030442,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030443,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030444,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030445,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030446,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030447,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030448,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030449,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030451,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030452,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030453,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030454,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030455,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030456,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030457,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030459,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030461,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030462,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030463,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030469,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030471,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030472,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030473,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030474,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030475,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030479,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030481,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030482,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030483,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030484,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030485,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030486,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030487,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030488,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030489,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030491,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030492,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030493,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030494,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030495,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030496,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,704,2018,030497,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
