NomenCode,Reporter_ISO_N,Year,ProductCode,Partner,ExcludedFrom,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,TotalNoOfLines,Nbr_Pref_Lines,Nbr_MFN_Lines,Nbr_NA_Lines
H5,096,2022,630420,01D,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,090111,156,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,096,2022,090112,156,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,096,2022,090121,156,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,096,2022,090122,156,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,096,2022,090210,156,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,096,2022,090220,156,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,096,2022,090230,156,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,096,2022,090240,156,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,096,2022,271012,156,   ,      0.00,      0.00,      0.00,      0.00,22,14,8,0
H5,096,2022,271019,156,   ,      0.00,      0.00,      0.00,      0.00,16,8,8,0
H5,096,2022,340111,156,   ,      0.00,      0.00,      0.00,      0.00,4,3,1,0
H5,096,2022,340119,156,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H5,096,2022,340120,156,   ,      0.00,      0.00,      0.00,      0.00,3,3,0,0
H5,096,2022,340130,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,340220,156,   ,      0.00,      0.00,      0.00,      0.00,4,4,0,0
H5,096,2022,340290,156,   ,      0.00,      0.00,      0.00,      0.00,10,10,0,0
H5,096,2022,340311,156,   ,      0.00,      0.00,      0.00,      0.00,3,3,0,0
H5,096,2022,340319,156,   ,      0.00,      0.00,      0.00,      0.00,4,4,0,0
H5,096,2022,340391,156,   ,      0.00,      0.00,      0.00,      0.00,3,3,0,0
H5,096,2022,340399,156,   ,      0.00,      0.00,      0.00,      0.00,4,4,0,0
H5,096,2022,340540,156,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,096,2022,440121,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,440122,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,440131,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,440139,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,440140,156,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,096,2022,440311,156,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
