NomenCode,Reporter_ISO_N,Year,ProductCode,Partner,ExcludedFrom,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,TotalNoOfLines,Nbr_Pref_Lines,Nbr_MFN_Lines,Nbr_NA_Lines
H5,152,2022,010121,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,152,2022,010129,032,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,152,2022,010130,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,152,2022,010190,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,152,2022,010221,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,152,2022,010229,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,152,2022,010231,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,152,2022,010239,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,152,2022,010290,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,152,2022,010310,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,152,2022,010391,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,152,2022,010392,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,152,2022,010410,032,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,152,2022,010420,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,152,2022,010511,032,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,152,2022,010512,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,152,2022,010513,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,152,2022,010514,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,152,2022,010515,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,152,2022,010594,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
