NomenCode,Reporter_ISO_N,Year,ProductCode,Partner,ExcludedFrom,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,TotalNoOfLines,Nbr_Pref_Lines,Nbr_MFN_Lines,Nbr_NA_Lines
H5,484,2022,070390,032,   ,      8.00,      8.00,      8.00,      8.00,1,1,0,0
H5,484,2022,070410,032,   ,      8.00,      8.00,      8.00,      8.00,1,1,0,0
H5,484,2022,070420,032,   ,      8.00,      8.00,      8.00,      8.00,1,1,0,0
H5,484,2022,070490,032,   ,      8.00,      8.00,      8.00,      8.00,1,1,0,0
H5,484,2022,070511,032,   ,      8.00,      8.00,      8.00,      8.00,1,1,0,0
H5,484,2022,070519,032,   ,      8.00,      8.00,      8.00,      8.00,1,1,0,0
H5,484,2022,070521,032,   ,      8.00,      8.00,      8.00,      8.00,1,1,0,0
H5,484,2022,070529,032,   ,      8.00,      8.00,      8.00,      8.00,1,1,0,0
H5,484,2022,070610,032,   ,      8.00,      8.00,      8.00,      8.00,1,1,0,0
H5,484,2022,070690,032,   ,      8.00,      8.00,      8.00,      8.00,1,1,0,0
H5,484,2022,070700,032,   ,      8.00,      8.00,      8.00,      8.00,1,1,0,0
H5,484,2022,070810,032,   ,      8.00,      8.00,      8.00,      8.00,1,1,0,0
H5,484,2022,070820,032,   ,      8.00,      8.00,      8.00,      8.00,1,1,0,0
H5,484,2022,070890,032,   ,      8.00,      8.00,      8.00,      8.00,1,1,0,0
H5,484,2022,070920,032,   ,      8.00,      8.00,      8.00,      8.00,1,1,0,0
H5,484,2022,070930,032,   ,      8.00,      8.00,      8.00,      8.00,1,1,0,0
H5,484,2022,070940,032,   ,      8.00,      8.00,      8.00,      8.00,1,1,0,0
H5,484,2022,070951,032,   ,      8.00,      8.00,      8.00,      8.00,1,1,0,0
H5,484,2022,070959,032,   ,      8.00,      8.00,      8.00,      8.00,1,1,0,0
H5,484,2022,070960,032,   ,     24.00,      8.00,      8.00,      8.00,3,3,0,0
H5,484,2022,070970,032,   ,      8.00,      8.00,      8.00,      8.00,1,1,0,0
H5,484,2022,070991,032,   ,      8.00,      8.00,      8.00,      8.00,1,1,0,0
H5,484,2022,071010,032,   ,     12.00,     12.00,     12.00,     12.00,1,1,0,0
H5,484,2022,071021,032,   ,     12.00,     12.00,     12.00,     12.00,1,1,0,0
H5,484,2022,071022,032,   ,     12.00,     12.00,     12.00,     12.00,1,1,0,0
H5,484,2022,071029,032,   ,     12.00,     12.00,     12.00,     12.00,1,1,0,0
H5,484,2022,071030,032,   ,     12.00,     12.00,     12.00,     12.00,1,1,0,0
H5,484,2022,071040,032,   ,     12.00,     12.00,     12.00,     12.00,1,1,0,0
H5,484,2022,071080,032,   ,     28.00,     12.00,     16.00,     14.00,2,2,0,0
H5,484,2022,071090,032,   ,     12.00,     12.00,     12.00,     12.00,1,1,0,0
H5,484,2022,071120,032,   ,     12.00,     12.00,     12.00,     12.00,1,1,0,0
H5,484,2022,071140,032,   ,     12.00,     12.00,     12.00,     12.00,1,1,0,0
H5,484,2022,071151,032,   ,     12.00,     12.00,     12.00,     12.00,1,1,0,0
H5,484,2022,071159,032,   ,     12.00,     12.00,     12.00,     12.00,1,1,0,0
H5,484,2022,071190,032,   ,     20.00,      8.00,     12.00,     10.00,2,2,0,0
H5,484,2022,071220,032,   ,     16.00,     16.00,     16.00,     16.00,1,1,0,0
H5,484,2022,071231,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,071232,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,071233,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,071239,032,   ,     16.00,     16.00,     16.00,     16.00,1,1,0,0
H5,484,2022,071290,032,   ,     32.00,     12.00,     20.00,     16.00,2,1,1,0
H5,484,2022,071310,032,   ,      8.00,      0.00,      8.00,      4.00,2,1,1,0
H5,484,2022,071320,032,   ,      8.00,      8.00,      8.00,      8.00,1,1,0,0
H5,484,2022,071340,032,   ,      8.00,      8.00,      8.00,      8.00,1,1,0,0
H5,484,2022,071350,032,   ,      8.00,      8.00,      8.00,      8.00,1,1,0,0
H5,484,2022,071360,032,   ,      8.00,      8.00,      8.00,      8.00,1,1,0,0
H5,484,2022,071390,032,   ,      8.00,      8.00,      8.00,      8.00,1,1,0,0
H5,484,2022,071410,032,   ,     24.00,      8.00,     16.00,     12.00,2,2,0,0
H5,484,2022,071420,032,   ,     24.00,      8.00,     16.00,     12.00,2,2,0,0
H5,484,2022,071430,032,   ,     24.00,      8.00,     16.00,     12.00,2,2,0,0
H5,484,2022,071440,032,   ,     24.00,      8.00,     16.00,     12.00,2,2,0,0
H5,484,2022,071450,032,   ,     24.00,      8.00,     16.00,     12.00,2,2,0,0
H5,484,2022,071490,032,   ,     24.00,      8.00,     16.00,     12.00,2,2,0,0
H5,484,2022,080111,032,   ,     16.00,     16.00,     16.00,     16.00,1,1,0,0
H5,484,2022,080112,032,   ,     16.00,     16.00,     16.00,     16.00,1,1,0,0
H5,484,2022,080119,032,   ,     16.00,     16.00,     16.00,     16.00,1,1,0,0
H5,484,2022,551422,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,551423,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,551429,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,551430,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,551441,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,551442,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,551443,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,551449,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,551511,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,551512,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,551513,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,551519,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,551521,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,551522,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,551529,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,551591,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,551599,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,551611,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,551612,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,551613,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,551614,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,551621,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,551622,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,551623,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,551624,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,551631,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,551632,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,551633,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,551634,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,551641,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,551642,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,551643,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,551644,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,551691,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,551692,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,551693,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,551694,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,560122,124,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H5,484,2022,560210,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,560221,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,560229,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,560290,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,560311,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,560312,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,560313,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,560314,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,560391,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,560392,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,560393,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,560394,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,560410,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,560490,124,   ,      0.00,      0.00,      0.00,      0.00,14,10,4,0
H5,484,2022,560500,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,560600,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,560721,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,560729,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,560741,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,560749,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,560750,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,560790,124,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H5,484,2022,560811,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,560819,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,560890,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,560900,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,570110,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,570190,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,570210,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,570220,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,570231,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,570232,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,484,2022,570239,124,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
