NomenCode,Reporter_ISO_N,Year,ProductCode,Partner,ExcludedFrom,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,TotalNoOfLines,Nbr_Pref_Lines,Nbr_MFN_Lines,Nbr_NA_Lines
H5,604,2022,010129,032,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,604,2022,010229,032,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H5,604,2022,010611,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,604,2022,010612,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,604,2022,010613,032,   ,      0.00,      0.00,      0.00,      0.00,4,4,0,0
H5,604,2022,010614,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,604,2022,010619,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,604,2022,010620,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,604,2022,010631,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,604,2022,010632,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,604,2022,010633,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,604,2022,010639,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,604,2022,010641,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,604,2022,010649,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,604,2022,010690,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,604,2022,020110,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,604,2022,020120,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,604,2022,020130,032,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,604,2022,020210,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,604,2022,020220,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,604,2022,020230,032,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,604,2022,020311,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,604,2022,020312,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,604,2022,020319,032,   ,      0.00,      0.00,      0.00,      0.00,4,4,0,0
H5,604,2022,020321,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,604,2022,020322,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,604,2022,020329,032,   ,      0.00,      0.00,      0.00,      0.00,4,4,0,0
H5,604,2022,020410,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,604,2022,020421,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,604,2022,020422,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,604,2022,020423,032,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
