NomenCode,Reporter_ISO_N,Year,ProductCode,Partner,ExcludedFrom,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,TotalNoOfLines,Nbr_Pref_Lines,Nbr_MFN_Lines,Nbr_NA_Lines
H5,702,2022,220300,01D,   ,      0.00,      0.00,      0.00,      0.00,4,4,0,0
H5,702,2022,220890,01D,   ,      0.00,      0.00,      0.00,      0.00,10,4,6,0
H5,702,2022,220300,036,   ,      0.00,      0.00,      0.00,      0.00,4,4,0,0
H5,702,2022,220890,036,   ,      0.00,      0.00,      0.00,      0.00,10,4,6,0
H5,702,2022,220300,156,   ,      0.00,      0.00,      0.00,      0.00,4,4,0,0
H5,702,2022,220890,156,   ,      0.00,      0.00,      0.00,      0.00,10,4,6,0
H5,702,2022,220300,158,   ,      0.00,      0.00,      0.00,      0.00,4,4,0,0
H5,702,2022,220890,158,   ,      0.00,      0.00,      0.00,      0.00,10,4,6,0
H5,702,2022,220300,188,   ,      0.00,      0.00,      0.00,      0.00,4,4,0,0
H5,702,2022,220890,188,   ,      0.00,      0.00,      0.00,      0.00,10,4,6,0
H5,702,2022,220300,344,   ,      0.00,      0.00,      0.00,      0.00,4,4,0,0
H5,702,2022,220890,344,   ,      0.00,      0.00,      0.00,      0.00,10,4,6,0
H5,702,2022,220300,356,   ,      0.00,      0.00,      0.00,      0.00,4,4,0,0
H5,702,2022,220890,356,   ,      0.00,      0.00,      0.00,      0.00,10,4,6,0
H5,702,2022,220300,392,   ,      0.00,      0.00,      0.00,      0.00,4,4,0,0
H5,702,2022,220890,392,   ,      0.00,      0.00,      0.00,      0.00,10,4,6,0
H5,702,2022,220300,400,   ,      0.00,      0.00,      0.00,      0.00,4,4,0,0
H5,702,2022,220890,400,   ,      0.00,      0.00,      0.00,      0.00,10,4,6,0
H5,702,2022,220300,410,   ,      0.00,      0.00,      0.00,      0.00,4,4,0,0
H5,702,2022,220890,410,   ,      0.00,      0.00,      0.00,      0.00,10,4,6,0
H5,702,2022,220300,554,   ,      0.00,      0.00,      0.00,      0.00,4,4,0,0
H5,702,2022,220890,554,   ,      0.00,      0.00,      0.00,      0.00,10,4,6,0
H5,702,2022,220300,591,   ,      0.00,      0.00,      0.00,      0.00,4,4,0,0
H5,702,2022,220890,591,   ,      0.00,      0.00,      0.00,      0.00,10,4,6,0
H5,702,2022,220300,604,   ,      0.00,      0.00,      0.00,      0.00,4,4,0,0
H5,702,2022,220890,604,   ,      0.00,      0.00,      0.00,      0.00,10,4,6,0
H5,702,2022,220300,792,   ,      0.00,      0.00,      0.00,      0.00,4,4,0,0
H5,702,2022,220890,792,   ,      0.00,      0.00,      0.00,      0.00,10,4,6,0
H5,702,2022,220300,842,   ,      0.00,      0.00,      0.00,      0.00,4,4,0,0
H5,702,2022,220890,842,   ,      0.00,      0.00,      0.00,      0.00,10,4,6,0
H5,702,2022,220300,926,   ,      0.00,      0.00,      0.00,      0.00,4,4,0,0
H5,702,2022,220890,926,   ,      0.00,      0.00,      0.00,      0.00,10,4,6,0
H5,702,2022,220300,A39,   ,      0.00,      0.00,      0.00,      0.00,4,4,0,0
H5,702,2022,220890,A39,   ,      0.00,      0.00,      0.00,      0.00,10,4,6,0
H5,702,2022,220300,A84,   ,      0.00,      0.00,      0.00,      0.00,4,4,0,0
H5,702,2022,220890,A84,   ,      0.00,      0.00,      0.00,      0.00,10,4,6,0
H5,702,2022,220300,C02,   ,      0.00,      0.00,      0.00,      0.00,4,4,0,0
H5,702,2022,220890,C02,   ,      0.00,      0.00,      0.00,      0.00,10,4,6,0
H5,702,2022,220300,C50,   ,      0.00,      0.00,      0.00,      0.00,4,4,0,0
H5,702,2022,220890,C50,   ,      0.00,      0.00,      0.00,      0.00,10,4,6,0
H5,702,2022,220300,N52,   ,      0.00,      0.00,      0.00,      0.00,4,4,0,0
H5,702,2022,220890,N52,   ,      0.00,      0.00,      0.00,      0.00,10,4,6,0
H5,702,2022,220300,N61,   ,      0.00,      0.00,      0.00,      0.00,4,4,0,0
H5,702,2022,220890,N61,   ,      0.00,      0.00,      0.00,      0.00,10,4,6,0
H5,702,2022,220300,T00,   ,      0.00,      0.00,      0.00,      0.00,4,4,0,0
H5,702,2022,220890,T00,   ,      0.00,      0.00,      0.00,      0.00,10,4,6,0
