NomenCode,Reporter_ISO_N,Year,ProductCode,Partner,ExcludedFrom,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,TotalNoOfLines,Nbr_Pref_Lines,Nbr_MFN_Lines,Nbr_NA_Lines
H5,704,2022,071021,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,071022,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,071029,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,071030,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,071040,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,071080,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,071090,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,071120,01I,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,704,2022,071140,01I,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,704,2022,071151,01I,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,704,2022,071159,01I,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,704,2022,071190,01I,   ,      0.00,      0.00,      0.00,      0.00,7,7,0,0
H5,704,2022,071220,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,071231,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,071232,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,071233,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,071239,01I,   ,      0.00,      0.00,      0.00,      0.00,3,3,0,0
H5,704,2022,071290,01I,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,704,2022,071310,01I,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H5,704,2022,071320,01I,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H5,704,2022,071331,01I,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H5,704,2022,071332,01I,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H5,704,2022,071333,01I,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H5,704,2022,071334,01I,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H5,704,2022,071335,01I,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H5,704,2022,071339,01I,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H5,704,2022,071340,01I,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H5,704,2022,071350,01I,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H5,704,2022,071360,01I,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H5,704,2022,071390,01I,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H5,704,2022,071410,01I,   ,      0.00,      0.00,      0.00,      0.00,4,4,0,0
H5,704,2022,071420,01I,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,704,2022,071430,01I,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,704,2022,071440,01I,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,704,2022,071450,01I,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,704,2022,071490,01I,   ,      0.00,      0.00,      0.00,      0.00,4,4,0,0
H5,704,2022,080111,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080112,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080119,01I,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,704,2022,080121,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080122,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080131,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080132,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080211,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080212,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080221,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080222,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080231,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080232,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080241,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080242,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080251,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080252,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080261,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080262,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080270,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080280,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080290,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080310,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080390,01I,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,704,2022,080410,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080420,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080430,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080440,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080450,01I,   ,      0.00,      0.00,      0.00,      0.00,3,3,0,0
H5,704,2022,080510,01I,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,704,2022,080521,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080522,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080529,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080540,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080550,01I,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H5,704,2022,080590,01I,   ,     32.00,     32.00,     32.00,     32.00,1,1,0,0
H5,704,2022,080610,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080620,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080711,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080719,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080720,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H5,704,2022,080810,01I,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
