NomenCode,Reporter_ISO_N,Year,ProductCode,Partner,ExcludedFrom,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,TotalNoOfLines,Nbr_Pref_Lines,Nbr_MFN_Lines,Nbr_NA_Lines
H6,036,2022,390761,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,390769,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,390770,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,390791,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,390799,152,   ,      0.00,      0.00,      0.00,      0.00,3,2,1,0
H6,036,2022,390810,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,390890,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,390910,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,390920,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,390931,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,390939,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,390940,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,390950,152,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H6,036,2022,391000,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,391110,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,391120,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,391190,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,391220,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,391231,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,391239,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,391290,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,391310,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,391390,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,391400,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,391510,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,391520,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,391530,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,391590,152,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H6,036,2022,391610,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,391620,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,391690,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,391721,152,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H6,036,2022,391722,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,391723,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,391729,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,391731,152,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H6,036,2022,391732,152,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H6,036,2022,391733,152,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H6,036,2022,391739,152,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H6,036,2022,391740,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,391810,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,391890,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,391910,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,391990,152,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,036,2022,392010,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392020,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392030,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392043,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392049,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392051,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392059,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392061,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392062,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392063,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392069,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392091,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392092,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392099,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392111,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392112,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392113,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392114,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392119,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392190,152,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,036,2022,392210,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392220,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392290,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392310,152,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,036,2022,392321,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392329,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392330,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392340,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392350,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392390,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392410,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392490,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392510,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392520,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392530,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392590,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392610,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392620,152,   ,      0.00,      0.00,      0.00,      0.00,4,3,1,0
H6,036,2022,392630,152,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H6,036,2022,392640,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,392690,152,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H6,036,2022,400211,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,400219,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,400220,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,400231,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,400239,152,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
