NomenCode,Reporter_ISO_N,Year,ProductCode,Partner,ExcludedFrom,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,TotalNoOfLines,Nbr_Pref_Lines,Nbr_MFN_Lines,Nbr_NA_Lines
H6,124,2022,010512,00G,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,124,2022,010513,00G,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,124,2022,010514,00G,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,124,2022,010515,00G,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,124,2022,020441,00G,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,020442,00G,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,124,2022,020443,00G,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,124,2022,020711,00G,   ,      5.00,      5.00,      5.00,      5.00,3,1,2,2
H6,124,2022,020712,00G,   ,      5.00,      5.00,      5.00,      5.00,3,1,2,2
H6,124,2022,020714,00G,   ,      5.00,      0.00,      5.00,      2.50,6,1,5,4
H6,124,2022,020741,00G,   ,      5.00,      5.00,      5.00,      5.00,1,1,0,0
H6,124,2022,020742,00G,   ,      5.00,      5.00,      5.00,      5.00,1,1,0,0
H6,124,2022,020751,00G,   ,      5.00,      5.00,      5.00,      5.00,1,1,0,0
H6,124,2022,020752,00G,   ,      5.00,      5.00,      5.00,      5.00,1,1,0,0
H6,124,2022,020760,00G,   ,     18.50,      0.00,      5.00,      3.70,5,2,3,0
H6,124,2022,020990,00G,   ,      5.00,      5.00,      5.00,      5.00,5,1,4,4
H6,124,2022,030291,00G,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,030612,00G,   ,      3.00,      0.00,      3.00,      1.50,2,1,1,0
H6,124,2022,030692,00G,   ,      3.00,      0.00,      3.00,      1.50,2,1,1,0
H6,124,2022,030711,00G,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,124,2022,030712,00G,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,124,2022,030719,00G,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,124,2022,030722,00G,   ,      3.00,      0.00,      3.00,      1.50,2,1,1,0
H6,124,2022,030729,00G,   ,      3.00,      0.00,      3.00,      1.50,2,1,1,0
H6,124,2022,030732,00G,   ,      3.00,      0.00,      3.00,      1.50,2,1,1,0
H6,124,2022,030739,00G,   ,      3.00,      0.00,      3.00,      1.50,2,1,1,0
H6,124,2022,030760,00G,   ,      3.00,      0.00,      3.00,      1.50,2,1,1,0
H6,124,2022,030772,00G,   ,      6.00,      0.00,      6.00,      3.00,2,1,1,0
H6,124,2022,030779,00G,   ,      6.00,      0.00,      6.00,      3.00,2,1,1,0
H6,124,2022,030783,00G,   ,      3.00,      0.00,      3.00,      1.50,2,1,1,0
H6,124,2022,030784,00G,   ,      3.00,      0.00,      3.00,      1.50,2,1,1,0
H6,124,2022,030787,00G,   ,      3.00,      0.00,      3.00,      1.50,2,1,1,0
H6,124,2022,030788,00G,   ,      3.00,      0.00,      3.00,      1.50,2,1,1,0
H6,124,2022,030792,00G,   ,      3.00,      0.00,      3.00,      1.50,2,1,1,0
H6,124,2022,030799,00G,   ,      3.00,      0.00,      3.00,      1.50,2,1,1,0
H6,124,2022,030812,00G,   ,      3.00,      0.00,      3.00,      1.50,2,1,1,0
H6,124,2022,030819,00G,   ,      3.00,      0.00,      3.00,      1.50,2,1,1,0
H6,124,2022,030822,00G,   ,      3.00,      0.00,      3.00,      1.50,2,1,1,0
H6,124,2022,030829,00G,   ,      3.00,      0.00,      3.00,      1.50,2,1,1,0
H6,124,2022,030830,00G,   ,      3.00,      0.00,      3.00,      1.50,2,1,1,0
H6,124,2022,030890,00G,   ,      3.00,      0.00,      3.00,      1.50,2,1,1,0
H6,124,2022,030990,00G,   ,     11.00,      0.00,      5.00,      2.20,5,2,3,0
H6,124,2022,040320,00G,   ,     11.50,      0.00,      6.50,      3.83,5,1,4,2
H6,124,2022,041010,00G,   ,      5.00,      0.00,      5.00,      2.50,2,1,1,0
H6,124,2022,041090,00G,   ,      5.00,      5.00,      5.00,      5.00,1,1,0,0
H6,124,2022,060110,00G,   ,     10.00,      0.00,      5.00,      2.50,4,2,2,0
H6,124,2022,060120,00G,   ,      5.00,      0.00,      5.00,      2.50,2,1,1,0
H6,124,2022,060240,00G,   ,      5.00,      0.00,      5.00,      2.50,2,1,1,0
H6,124,2022,060290,00G,   ,      5.00,      0.00,      5.00,      2.50,2,1,1,0
H6,124,2022,060313,00G,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H6,124,2022,060390,00G,   ,     13.00,      0.00,      8.00,      4.33,3,1,2,0
H6,124,2022,060420,00G,   ,      5.00,      0.00,      5.00,      2.50,2,1,1,0
H6,124,2022,060490,00G,   ,      5.00,      0.00,      5.00,      2.50,2,1,1,0
H6,124,2022,070420,00G,   ,     15.00,      0.00,     10.00,      5.00,3,2,1,0
H6,124,2022,070490,00G,   ,     20.00,      0.00,     10.00,      4.00,5,2,3,0
H6,124,2022,070511,00G,   ,     20.00,      0.00,     10.00,      6.67,3,2,1,0
H6,124,2022,690721,352,   ,      0.00,      0.00,      0.00,      0.00,3,3,0,0
H6,124,2022,690722,352,   ,      0.00,      0.00,      0.00,      0.00,3,3,0,0
H6,124,2022,690723,352,   ,      0.00,      0.00,      0.00,      0.00,3,3,0,0
H6,124,2022,690730,352,   ,      0.00,      0.00,      0.00,      0.00,3,3,0,0
H6,124,2022,690740,352,   ,      0.00,      0.00,      0.00,      0.00,3,3,0,0
H6,124,2022,690911,352,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,690912,352,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,124,2022,690919,352,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,124,2022,690990,352,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,691010,352,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H6,124,2022,691090,352,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,691110,352,   ,      0.00,      0.00,      0.00,      0.00,3,1,2,0
H6,124,2022,691190,352,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,691200,352,   ,      0.00,      0.00,      0.00,      0.00,3,1,2,0
H6,124,2022,691310,352,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,691390,352,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,124,2022,691410,352,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,124,2022,691490,352,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,702000,352,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,124,2022,711311,352,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H6,124,2022,711319,352,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H6,124,2022,711320,352,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
