NomenCode,Reporter_ISO_N,Year,ProductCode,Partner,ExcludedFrom,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,TotalNoOfLines,Nbr_Pref_Lines,Nbr_MFN_Lines,Nbr_NA_Lines
H6,392,2022,282732,00O,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,392,2022,282735,00O,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,392,2022,282739,00O,   ,      0.00,      0.00,      0.00,      0.00,4,4,0,0
H6,392,2022,282741,00O,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,392,2022,282749,00O,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,392,2022,282759,00O,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,392,2022,282760,00O,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,392,2022,282810,00O,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,392,2022,282890,00O,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,392,2022,282911,00O,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,392,2022,282919,00O,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,392,2022,282990,00O,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,392,2022,283010,00O,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,392,2022,283110,00O,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,392,2022,283190,00O,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,392,2022,283210,00O,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,392,2022,283220,00O,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,392,2022,283230,00O,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,392,2022,283311,00O,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
