NomenCode,Reporter_ISO_N,Year,ProductCode,Partner,ExcludedFrom,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,TotalNoOfLines,Nbr_Pref_Lines,Nbr_MFN_Lines,Nbr_NA_Lines
H6,554,2022,850132,00Z,   ,      5.00,      0.00,      5.00,      1.67,3,2,1,0
H6,554,2022,850133,00Z,   ,      5.00,      0.00,      5.00,      2.50,2,1,1,0
H6,554,2022,850134,00Z,   ,      5.00,      0.00,      5.00,      2.50,2,1,1,0
H6,554,2022,850140,00Z,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H6,554,2022,850151,00Z,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H6,554,2022,850152,00Z,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H6,554,2022,850153,00Z,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,850300,00Z,   ,      5.00,      0.00,      5.00,      1.67,3,2,1,0
H6,554,2022,850410,00Z,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H6,554,2022,850421,00Z,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,850422,00Z,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,850423,00Z,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,850431,00Z,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H6,554,2022,850432,00Z,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H6,554,2022,850433,00Z,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,850434,00Z,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,850710,00Z,   ,      0.00,      0.00,      0.00,      0.00,3,3,0,0
H6,554,2022,850720,00Z,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,850730,00Z,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,850750,00Z,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,850760,00Z,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,850780,00Z,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,850790,00Z,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,850819,00Z,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,554,2022,850860,00Z,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,850870,00Z,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,554,2022,850980,00Z,   ,      0.00,      0.00,      0.00,      0.00,4,1,3,0
H6,554,2022,850990,00Z,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,851020,00Z,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,554,2022,851030,00Z,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,851090,00Z,   ,      0.00,      0.00,      0.00,      0.00,3,1,2,0
H6,554,2022,851110,00Z,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,851130,00Z,   ,      0.00,      0.00,      0.00,      0.00,5,4,1,0
H6,554,2022,851140,00Z,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,554,2022,851150,00Z,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,851220,00Z,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,554,2022,851230,00Z,   ,      0.00,      0.00,      0.00,      0.00,4,1,3,0
H6,554,2022,851411,00Z,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,554,2022,851419,00Z,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
